ORF	start	stop	orientation	name	function	class	subclass	EC	LocateP Subcellular Localization Prediction				
lp_1023	947890	948567	-	lp_1023	type 4 prepilin-like proteins leader peptide processing enzyme (putative)	Protein fate	Protein and peptide secretion		@Multi-transmembrane				
lp_1025	948830	949240	+	rpsL	ribosomal protein S12	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1026	949260	949727	+	rpsG	ribosomal protein S7	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1027	949872	951965	+	fusA2	elongation factor G	Protein synthesis	Translation factors		@Intracellular				
lp_1032	952919	953224	+	rpsJ	ribosomal protein S10	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1033	953265	953891	+	rplC	ribosomal protein L3	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1034	953913	954533	+	rplD	ribosomal protein L4	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1035	954536	954826	+	rplW	ribosomal protein L23	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1036	954853	955689	+	rplB	ribosomal protein L2	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1038	955735	956007	+	rpsS	ribosomal protein S19	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1039	956031	956375	+	rplV	ribosomal protein L22	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1040	956391	957041	+	rpsC	ribosomal protein S3	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1041	957047	957478	+	rplP	ribosomal protein L16	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1043	957471	957662	+	rpmC	ribosomal protein L29	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1044	957688	957954	+	rpsQ	ribosomal protein S17	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1045	958000	958365	+	rplN	ribosomal protein L14	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1046	958402	958710	+	rplX	ribosomal protein L24	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1047	958742	959281	+	rplE	ribosomal protein L5	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1048	959305	959487	+	rpsN	ribosomal protein S14	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1050	959524	959916	+	rpsH	ribosomal protein S8	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1051	959949	960482	+	rplF	ribosomal protein L6	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1052	960520	960882	+	rplR	ribosomal protein L18	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1053	960906	961403	+	rpsE	ribosomal protein S5	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1054	961421	961600	+	rpmD	ribosomal protein L30	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1055	961635	962063	+	rplO	ribosomal protein L15	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1056	962068	963360	+	secY	preprotein translocase, SecY subunit	Protein fate	Protein and peptide secretion		@Multi-transmembrane				
lp_1058	963427	964074	+	adk	adenylate kinase	Purines, pyrimidines, nucleosides and nucleotides	Salvage of nucleosides and nucleotides	2.7.4.3	@Intracellular				
lp_1059	964252	964467	+	infA	translation initiation factor IF-1	Protein synthesis	Translation factors		@Intracellular				
lp_1059a	964507	964623	+	rpmJ	ribosomal protein L36	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1060	964654	965016	+	rpsM	ribosomal protein S13	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1061	965044	965430	+	rpsK	ribosomal protein S11	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1062	965520	966461	+	rpoA	DNA-directed RNA polymerase, alpha subunit	Transcription	DNA-dependent RNA polymerase	2.7.7.6	@Intracellular				
lp_1063	966486	966866	+	rplQ	ribosomal protein L17	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1064	967147	968406	-	ISP1_1	transposase	Other categories	Transposon related functions		@Intracellular				
lp_1066	968717	969706	-	hepB1	heptaprenyl diphosphate synthase component II	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone	2.5.1.30	@Intracellular				
lp_1067	969715	970281	-	hepA	heptaprenyl diphosphate synthase component I 	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone	2.5.1.30	@Multi-transmembrane				
lp_1068	970288	970776	-	lp_1068	extracellular protein, DUF1312 famliy (putative)	Cell envelope	Cell surface proteins: other		@N-terminally anchored (No CS)				
lp_1069	970874	972781	-	ndh2	NADH dehydrogenase, membrane-anchored	Energy metabolism	Electron transport	1.6.99.3	@Multi-transmembrane				
lp_1070	973064	973987	+	lp_1070	lipoprotein precursor, FMN-binding protein	Cell envelope	Cell surface proteins: lipoproteins		@Lipid anchored				
lp_1072	974330	975439	+	apbE1	thiamin biosynthesis lipoprotein ApbE	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine		@Lipid anchored				
lp_1073	975525	976367	+	lp_1073	ABC transporter, ATP-binding protein	Transport and binding proteins	Unknown substrate		@Intracellular				
lp_1074	976346	977230	+	lp_1074	ABC transporter, ATP-binding protein	Transport and binding proteins	Unknown substrate		@Intracellular				
lp_1075	977223	978020	+	lp_1075	ABC transporter, permease protein	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_1076	978088	978873	+	truA	tRNA pseudouridine synthase A	Protein synthesis	tRNA and rRNA base modification	4.2.1.70	@Intracellular				
lp_1077	978985	979425	+	rplM	ribosomal protein L13	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1078	979442	979831	+	rpsI	ribosomal protein S9	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_1079	980102	980968	-	lp_1079	fatty acid-binding protein, DegV family (putative)	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_1081	981388	982341	-	lp_1081	unknown	Hypothetical proteins	Conserved: other		@N-terminally anchored (No CS)				
lp_1082	982630	983715	+	lp_1082	malate / lactate dehydrogenase	Energy metabolism	TCA cycle	1.1.1.-	@Intracellular				
lp_1083	984596	986605	+	tkt2	transketolase	Energy metabolism	Pentose phosphate pathway	2.2.1.1	@Intracellular				
lp_1084	986628	987518	+	aroD1	shikimate 5-dehydrogenase	Amino acid biosynthesis	Aromatic amino-acid family	1.1.1.25	@Intracellular				
lp_1085	987562	988554	+	aroA	phospho-2-dehydro-3-deoxyheptonate aldolase / chorismate mutase	Amino acid biosynthesis	Aromatic amino-acid family	5.4.99.5;2.5.1.54	@Intracellular				
lp_1086	988561	989643	+	aroB	3-dehydroquinate synthase	Amino acid biosynthesis	Aromatic amino-acid family	4.2.3.4	@Intracellular				
lp_1087	990081	991499	-	ttdP	tartrate transport protein (putative)	Transport and binding proteins	Cations		@Multi-transmembrane				
lp_1088	991606	991929	-	lp_1088	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1089	991996	992604	-	ttdB	L(+)-tartrate dehydratase, subunit B	Energy metabolism	Organic acids	4.2.1.32	@Intracellular				
lp_1090	992604	993524	-	ttdA	L(+)-tartrate dehydratase, subunit A	Energy metabolism	Organic acids	4.2.1.32	@Intracellular				
lp_1092	993793	994815	-	ttdR	transcription regulator, AraC family	Regulatory functions	AraC-family regulators		@Intracellular				
lp_1093	995052	995891	+	citG	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	Energy metabolism	TCA cycle	2.7.8.25	@Intracellular				
lp_1095	996207	996959	+	mtsC	manganese ABC transporter, ATP-binding protein	Transport and binding proteins	Cations		@Intracellular				
lp_1096	996959	997831	+	mtsB	manganese ABC transporter, permease protein	Transport and binding proteins	Cations		@Multi-transmembrane				
lp_1097	997831	998769	+	mtsA	manganese/zinc ABC transporter, substrate binding protein	Transport and binding proteins	Cations		@Secretory(released) (with CS)				
lp_1098	998887	999195	-	lp_1098	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1101	999592	1000518	+	ldhL2	L-lactate dehydrogenase	Energy metabolism	Fermentation	1.1.1.27	@Intracellular				
lp_1102	1000553	1001968	+	citP	citrate transport protein (putative)	Transport and binding proteins	Cations		@Multi-transmembrane				
lp_1103	1002051	1003010	-	citR	citrate lyase regulator	Regulatory functions	DeoR-family regulators		@Intracellular				
lp_1105	1003206	1004363	+	mae	malic enzyme, NAD-dependent	Energy metabolism	Fermentation	1.1.1.38	@Intracellular				
lp_1106	1004384	1005436	+	citC	[citrate (pro-3S)-lyase] ligase	Energy metabolism	TCA cycle	6.2.1.22	@Intracellular				
lp_1107	1005429	1005716	+	citD	citrate lyase, acyl carrier protein	Energy metabolism	TCA cycle	4.1.3.6	@Intracellular				
lp_1108	1005719	1006630	+	citE	citrate lyase, beta chain	Energy metabolism	TCA cycle	4.1.3.6;4.1.3.34	@Intracellular				
lp_1109	1006623	1008158	+	citF	citrate lyase, alpha chain	Energy metabolism	TCA cycle	4.1.3.6;2.8.3.10	@Intracellular				
lp_1112	1009356	1010735	+	fum	fumarate hydratase	Energy metabolism	TCA cycle	4.2.1.2	@Intracellular				
lp_1113	1010911	1012296	+	lp_1113	fumarate reductase, flavoprotein subunit 	Energy metabolism	Electron transport	1.3.99.1	@Intracellular				
lp_1114	1012455	1012997	+	citX	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	Energy metabolism	TCA cycle	2.7.7.61	@Intracellular				
lp_1115	1012997	1013875	+	mleR2	malolactic regulator, LysR family 	Regulatory functions	LysR-family regulators		@Intracellular				
lp_1116	1014058	1014957	-	mleR1	malolactic regulator, LysR family 	Regulatory functions	LysR-family regulators		@Intracellular				
lp_1118	1015132	1016772	+	mleS	malolactic enzyme	Energy metabolism	Organic acids	1.1.1.38	@Intracellular				
lp_1119	1016817	1017785	+	mleP2	malate transport protein	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Multi-transmembrane				
lp_1120	1018290	1019714	+	lp_1120	amino acid transport protein	Transport and binding proteins	Amino acids, peptides and amines		@Multi-transmembrane				
lp_1121	1019835	1020416	+	lp_1121	integral membrane protein	Hypothetical proteins	Conserved: membrane proteins		@Multi-transmembrane				
lp_1124	1020763	1023465	-	lp_1124	cell surface hydrolase	Cell envelope	Cell surface proteins: LPxTG anchor		@LPxTG Cell-wall anchored				
lp_1125	1023890	1025326	+	cydA	cytochrome D ubiquinol oxidase, subunit I	Energy metabolism	Electron transport	1.10.3.-	@Multi-transmembrane				
lp_1126	1025322	1026314	+	cydB	cytochrome D ubiquinol oxidase, subunit II	Energy metabolism	Electron transport	1.10.3.-	@Multi-transmembrane				
lp_1128	1026446	1028176	+	cydC	cytochrome D ABC transporter, ATP-binding and permease protein	Transport and binding proteins	Other		@Multi-transmembrane				
lp_1129	1028179	1029936	+	cydD	cytochrome D ABC transporter, ATP-binding and permease protein	Transport and binding proteins	Other		@Multi-transmembrane				
lp_1132	1030452	1031123	-	lp_1132	unknown, N-terminal fragment (pseudogene)	Hypothetical proteins	Not conserved: other		@N-terminally anchored (No CS)				
lp_1134	1031316	1032290	-	hepB2	heptaprenyl diphosphate synthase component II	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone	2.5.1.30	@Intracellular				
lp_1135	1032399	1033346	+	lp_1135	prenyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone	2.5.1.-	@Multi-transmembrane				
lp_1136	1033565	1034536	-	lp_1136	oxidoreductase, NAD(P)-dependent	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_1138	1034984	1035622	+	acm1	cell wall hydrolase/muramidase	Cell envelope	Murein sacculus and peptidoglycan	3.2.1.17	@N-terminally anchored (No CS)				
lp_1139	1035676	1036260	+	xpt	xanthine phosphoribosyltransferase	Purines, pyrimidines, nucleosides and nucleotides	Salvage of nucleosides and nucleotides	2.4.2.-	@Intracellular				
lp_1140	1036286	1036831	+	lp_1140	integral membrane protein	Hypothetical proteins	Conserved: membrane proteins		@Multi-transmembrane				
lp_1141	1036947	1038113	+	purK2	phosphoribosylaminoimidazole carboxylase, ATPase subunit	Purines, pyrimidines, nucleosides and nucleotides	Purine ribonucleotide biosynthesis	4.1.1.21	@Intracellular				
lp_1144	1038557	1040821	+	pcrA	ATP-dependent DNA helicase PcrA	DNA metabolism	DNA replication recombination, and repair	3.6.1.-	@Intracellular				
lp_1145	1040841	1042877	+	ligA	DNA ligase (NAD+)	DNA metabolism	DNA replication recombination, and repair	6.5.1.2	@Intracellular				
lp_1146	1042877	1044049	+	lp_1146	lipoprotein, pheromone precursor (putative)	Cell envelope	Cell surface proteins: lipoproteins		@Lipid anchored				
lp_1147	1044093	1044410	+	gatC	glutamyl-tRNA amidotransferase, subunit C	Protein synthesis	tRNA and rRNA base modification	6.3.5.7	@Intracellular				
lp_1148	1044413	1045873	+	gatA	glutamyl-tRNA amidotransferase, subunit A	Protein synthesis	tRNA and rRNA base modification	6.3.5.7	@Intracellular				
lp_1149	1045876	1047297	+	gatB	glutamyl-tRNA amidotransferase, subunit B	Protein synthesis	tRNA and rRNA base modification	6.3.5.7	@Intracellular				
lp_1150	1047405	1048424	+	lp_1150	diacylglycerol kinase family protein	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_1151	1048761	1050131	+	lp_1151	23S rRNA methyltransferase, TrmA family	Transcription	RNA synthesis, modification, and DNA transcription	2.1.1.-	@Intracellular				
lp_1153	1050588	1051163	+	lp_1153	transcription regulator, TetR family (putative)	Regulatory functions	TetR/AcrR-family regulators		@Intracellular				
lp_1154	1051433	1053769	+	lp_1154	cation transporting P-type ATPase	Transport and binding proteins	Cations		@Multi-transmembrane				
lp_1155	1054013	1055326	+	pts13C	cellobiose PTS, EIIC	Transport and binding proteins	PTS systems	2.7.1.69	@Multi-transmembrane				
lp_1156	1055322	1056203	+	lp_1156	cell surface hydrolase, DUF915 family (putative)	Cell envelope	Cell surface proteins: other		@N-terminally anchored (No CS)				
lp_1157	1056331	1057206	+	lp_1157	transcription regulator, RpiR family	Regulatory functions	RpiR-family regulators		@Intracellular				
lp_1158	1057234	1058007	+	lys	lysozyme (putative)	Cell envelope	Murein sacculus and peptidoglycan	3.2.1.17	@N-terminally anchored (No CS)				
lp_1159	1058169	1058531	-	lp_1159	extracellular protein, membrane-bound (putative)	Cell envelope	Cell surface proteins: membrane bound		@N-terminally anchored (No CS)				
lp_1160	1058875	1059072	+	cspP	cold shock protein CspP	Cellular processes	Adaptations and atypical conditions (Heat/cold shock)		@Intracellular				
lp_1161	1059262	1060266	+	lp_1161	oxidoreductase, NAD-dependent	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_1162	1060282	1061613	+	rhe2	ATP-dependent RNA helicase	Transcription	RNA processing		@Intracellular				
lp_1163	1061902	1062339	-	lp_1163	nucleotide-binding protein, universal stress protein UspA family	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_1164	1062473	1063777	+	pts14C	cellobiose PTS, EIIC	Transport and binding proteins	PTS systems	2.7.1.69	@Multi-transmembrane				
lp_1165	1063773	1064636	+	lp_1165	cell surface hydrolase, DUF915 family (putative)	Cell envelope	Cell surface proteins: other		@N-terminally anchored (No CS)				
lp_1166	1065189	1065626	+	lp_1166	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_1168	1066063	1066623	+	lp_1168	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_1169	1066713	1068056	-	gdh	glutamate dehydrogenase, NADP-specific	Amino acid biosynthesis	Glutamate family	1.4.1.4	@Intracellular				
lp_1171	1068324	1069496	+	pbpX1	serine-type D-Ala-D-Ala carboxypeptidase	Cell envelope	Murein sacculus and peptidoglycan	3.4.16.4	@N-terminally anchored (No CS)				
lp_1173	1069688	1070803	+	lp_1173	UDP-N-acetylglucosamine 2-epimerase	Central intermediary metabolism	Amino sugars	5.1.3.14	@Intracellular				
lp_1174	1071192	1072109	+	lp_1174	ribonuclease BN family protein	Hypothetical proteins	Conserved: membrane proteins		@Multi-transmembrane				
lp_1175	1072312	1073025	+	glpF4	glycerol uptake facilitator protein	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Multi-transmembrane				
lp_1176	1073182	1074300	+	glf1	UDP-galactopyranose mutase	Purines, pyrimidines, nucleosides and nucleotides	Sugar-nucleotide biosynthesis and interconversions	5.4.99.9	@Intracellular				
lp_1177	1074307	1075296	+	cps1A	polysaccharide biosynthesis protein	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Intracellular				
lp_1178	1075304	1076362	+	cps1B	glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1179	1076392	1077816	+	cps1C	oligosaccharide  transporter (flippase)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1180	1077831	1078604	+	cps1D	glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1181	1078600	1079601	+	cps1E	acyltransferase/acetyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1182	1079618	1080238	+	cps1F	polysaccharide biosynthesis protein, chain length regulator (putative)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1183	1080249	1081376	+	cps1G	glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1184	1081380	1082303	+	cps1H	glycosyltransferase (rhamnosyltransferase)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1185	1082317	1083480	+	cps1I	polysaccharide polymerase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1186	1083489	1084349	+	rfbA	glucose-1-phosphate thymidylyltransferase	Purines, pyrimidines, nucleosides and nucleotides	Sugar-nucleotide biosynthesis and interconversions	2.7.7.24	@Intracellular				
lp_1187	1084375	1085661	+	lp_1187	glycosylhydrolase (putative)	Hypothetical proteins	Conserved: other		@Secretory(released) (with CS)				
lp_1188	1085724	1086269	+	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase	Purines, pyrimidines, nucleosides and nucleotides	Sugar-nucleotide biosynthesis and interconversions	5.1.3.13	@Intracellular				
lp_1189	1086316	1087341	+	rfbB	dTDP-glucose 4,6-dehydratase	Purines, pyrimidines, nucleosides and nucleotides	Sugar-nucleotide biosynthesis and interconversions	4.2.1.46	@Intracellular				
lp_1190	1087414	1088253	+	rfbD	dTDP-4-dehydrorhamnose reductase	Purines, pyrimidines, nucleosides and nucleotides	Sugar-nucleotide biosynthesis and interconversions	1.1.1.133	@Intracellular				
lp_1191	1088348	1088557	-	lp_1191	transposase, fragment	Other categories	Transposon related functions		@Intracellular				
lp_1192	1088482	1088964	-	lp_1192	transposase, fragment (putative)	Other categories	Transposon related functions		@Intracellular				
lp_1193	1089010	1089234	-	lp_1193	transposase, fragment (putative)	Other categories	Transposon related functions		@Intracellular				
lp_1194	1089234	1089578	-	lp_1194	transposase, fragment (putative)	Other categories	Transposon related functions		@Intracellular				
lp_1195	1089680	1089904	-	lp_1195	transposase, fragment (putative)	Other categories	Transposon related functions		@Intracellular				
lp_1196	1089970	1090554	-	lp_1196	integrase/recombinase	Other categories	Phage and prophage related functions		@Intracellular				
lp_1197	1090911	1091678	+	cps2A	polysaccharide biosynthesis protein, chain length regulator (putative)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1198	1091693	1092418	+	cps2B	polysaccharide biosynthesis protein; regulator	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Intracellular				
lp_1199	1092408	1093178	+	cps2C	polysaccharide biosynthesis protein; phosphatase (putative)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Intracellular				
lp_1200	1093199	1094143	+	cps2D	UDP N-acetyl glucosamine 4-epimerase, NAD dependent	Purines, pyrimidines, nucleosides and nucleotides	Sugar-nucleotide biosynthesis and interconversions	5.3.1.7	@Intracellular				
lp_1201	1094127	1094801	+	cps2E	priming glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@N-terminally anchored (No CS)				
lp_1202	1094805	1095896	+	cps2F	glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1203	1095900	1096910	+	cps2G	polysaccharide biosynthesis protein	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Intracellular				
lp_1204	1096951	1098087	+	cps2H	polysaccharide polymerase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1205	1098097	1099644	+	cps2I	oligosaccharide  transporter (flippase)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1206	1099787	1100809	+	cps2J	glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1207	1100937	1101134	+	cps2K	polysaccharide biosynthesis protein (putative)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Intracellular				
lp_1208	1101330	1101491	-	lp_1208	transposase, fragment (putative)	Other categories	Transposon related functions		@Intracellular				
lp_1210	1102288	1102962	+	lp_1210	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1211	1103002	1103832	+	lp_1211	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_1212	1104026	1104673	-	lp_1212	transposase, fragment (putative)	Other categories	Transposon related functions		@Intracellular				
lp_1213	1104911	1105195	-	lp_1213	transposase, fragment (putative)	Other categories	Transposon related functions		@Intracellular				
lp_1214	1105228	1105605	-	lp_1214	transposase, fragment (putative)	Other categories	Transposon related functions		@Intracellular				
lp_1215	1106172	1107080	+	cps3A	glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1216	1107166	1108095	+	cps3B	glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1219	1108611	1109741	+	glf2	UDP-galactopyranose mutase	Purines, pyrimidines, nucleosides and nucleotides	Sugar-nucleotide biosynthesis and interconversions	5.4.99.9	@N-terminally anchored (No CS)				
lp_1220	1109760	1110890	+	cps3D	polysaccharide biosynthesis protein (putative)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Secretory(released) (with CS)				
lp_1221	1110890	1111519	+	cps3E	polysaccharide biosynthesis protein (putative)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1222	1111509	1112396	+	cps3F	polysaccharide polymerase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1224	1112511	1112729	+	cps3G	polysaccharide biosynthesis protein (putative)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Intracellular				
lp_1225	1112729	1113835	+	cps3H	polysaccharide biosynthesis protein (putative)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1226	1113822	1114898	+	cps3I	O-acetyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.3.1.-	@Multi-transmembrane				
lp_1227	1115037	1115810	+	cps3J	glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens	2.4.1.-	@Intracellular				
lp_1227a	1115941	1116138	-	lp_1227a	transcription regulator, AraC family, C-terminal domain	Regulatory functions	AraC-family regulators						
lp_1228	1116119	1116685	-	lp_1228	transcription regulator, AraC family, N-terminal domain	Regulatory functions	AraC-family regulators		@Intracellular				
lp_1229	1116992	1120021	+	msa	mannose-specific adhesin	Cell envelope	Cell surface proteins: LPxTG anchor		@LPxTG Cell-wall anchored				
lp_1230	1120036	1120473	+	lp_1230	transcription regulator, MarR family	Regulatory functions	MarR-family regulators		@Intracellular				
lp_1231	1120609	1122027	-	lp_1231	oligosaccharide  transporter (flippase)	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@Multi-transmembrane				
lp_1233	1122468	1123142	-	lp_1233	priming glycosyltransferase	Cell envelope	Surface polysaccharides, lipopolysaccharides and antigens		@N-terminally anchored (No CS)				
lp_1234	1123992	1124312	+	lp_1234	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_1235	1124420	1124644	-	lp_1235	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1236	1124677	1124886	-	lp_1236	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1237	1125004	1125195	-	lp_1237	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_1238	1125234	1125779	-	lp_1238	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1239	1126014	1126769	+	lp_1239	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1240	1126799	1127605	+	recX	regulator 	Regulatory functions	Other		@Intracellular				
lp_1241	1127706	1128251	+	lp_1241	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1242	1128471	1129199	-	lp_1242	extracellular protein, NlpC/P60 family, gamma-D-glutamate-meso-diaminopimelate muropeptidase (putative)	Cell envelope	Murein sacculus and peptidoglycan	3.4.19.11	@N-terminally anchored (No CS)				
lp_1243	1129375	1129749	+	lp_1243	transcription regulator, Cro/CI family	Regulatory functions	Other		@Intracellular				
lp_1244	1129855	1130097	+	lp_1244	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_1245	1130230	1131153	-	hicD2	L-2-hydroxyisocaproate dehydrogenase	Energy metabolism	Amino acids and amines	1.1.1.-	@Intracellular				
lp_1247	1131317	1132507	+	lp_1247	transport protein	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_1248	1132563	1132958	+	tagD2	glycerol-3-phosphate cytidylyltransferase	Cell envelope	Teichoic acid biosynthesis	2.7.7.39	@Intracellular				
lp_1249	1133129	1134481	-	gntP	gluconate transport protein	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Multi-transmembrane				
lp_1250	1134496	1136007	-	gntK	gluconokinase	Energy metabolism	Pentose phosphate pathway	2.7.1.12	@Intracellular				
lp_1251	1136026	1136919	-	lp_1251	6-phosphogluconate dehydrogenase (decarboxylating)	Energy metabolism	Pentose phosphate pathway	1.1.1.44	@Intracellular				
lp_1253	1137093	1138412	-	gshR2	glutathione reductase	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione, thioredoxin, and glutaredoxin	1.8.1.7	@Intracellular				
lp_1255	1138710	1140239	+	prfC	peptide chain release factor 3	Protein synthesis	Translation factors		@Intracellular				
lp_1256	1140885	1142336	+	lp_1256	extracellular protein	Hypothetical proteins	Conserved: other		@Secretory(released) (with CS)				
lp_1257	1142432	1143454	-	lp_1257	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_1258	1143595	1144473	+	lp_1258	transcription regulator, LysR family	Regulatory functions	LysR-family regulators		@Intracellular				
lp_1259	1144705	1145547	+	lp_1259	transport protein	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_1260	1145550	1145927	+	lp_1260	integral membrane protein	Hypothetical proteins	Conserved: membrane proteins		@Multi-transmembrane				
lp_1261	1146477	1148117	+	oppA	oligopeptide ABC transporter, substrate binding protein	Transport and binding proteins	Amino acids, peptides and amines		@Lipid anchored				
lp_1262	1148278	1149204	+	oppB	oligopeptide ABC transporter, permease protein	Transport and binding proteins	Amino acids, peptides and amines		@Multi-transmembrane				
